Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_112,514.0,456.0,553.0,622.0,543.0,2018,Province4,centre5,Zone24,Neighbourhood54,Dwelling2
Rent_113,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone24,Neighbourhood55,Dwelling1
Rent_114,0.0,440.0,487.0,602.0,517.0,2018,Province4,centre5,Zone24,Neighbourhood55,Dwelling2
Rent_115,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone25,Neighbourhood56,Dwelling1
Rent_116,441.0,479.0,576.0,607.0,530.0,2018,Province4,centre5,Zone25,Neighbourhood56,Dwelling2
Rent_117,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone25,Neighbourhood57,Dwelling1
Rent_118,435.0,503.0,675.0,704.0,643.0,2018,Province4,centre5,Zone25,Neighbourhood57,Dwelling2
Rent_119,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone26,Neighbourhood58,Dwelling1
Rent_120,429.0,461.0,571.0,688.0,558.0,2018,Province4,centre5,Zone26,Neighbourhood58,Dwelling2
Rent_121,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone26,Neighbourhood59,Dwelling1
Rent_122,389.0,469.0,635.0,766.0,619.0,2018,Province4,centre5,Zone26,Neighbourhood59,Dwelling2
Rent_123,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone26,Neighbourhood60,Dwelling1
Rent_124,0.0,0.0,504.0,0.0,557.0,2018,Province4,centre5,Zone26,Neighbourhood60,Dwelling2
Rent_125,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone27,Neighbourhood61,Dwelling1
Rent_126,0.0,445.0,514.0,540.0,506.0,2018,Province4,centre5,Zone27,Neighbourhood61,Dwelling2
Rent_127,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone28,Neighbourhood62,Dwelling1
