Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Units_ID
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,0.0,8.0,0.0,8.0,2018,centre2,Zone3,Units_58
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,1.0,4.0,8.0,2.0,15.0,2018,centre3,Zone13,Units_59
N.B.,Moncton,Central Moncton,Downtown Moncton,Apt & Other,114.0,792.0,908.0,60.0,1874.0,2018,centre3,Zone13,Units_60
N.B.,Moncton,Central Moncton,Garden Hill,Row,0.0,0.0,11.0,0.0,11.0,2018,centre3,Zone13,Units_61
N.B.,Moncton,Central Moncton,Garden Hill,Apt & Other,45.0,342.0,720.0,115.0,1222.0,2018,centre3,Zone13,Units_62
N.B.,Moncton,West Moncton,West Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone14,Units_63
N.B.,Moncton,West Moncton,West Moncton,Apt & Other,110.0,373.0,582.0,45.0,1110.0,2018,centre3,Zone14,Units_64
N.B.,Moncton,East Moncton,Sunny Brae,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Units_65
N.B.,Moncton,East Moncton,Sunny Brae,Apt & Other,3.0,41.0,265.0,27.0,336.0,2018,centre3,Zone15,Units_66
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Row,0.0,0.0,14.0,0.0,14.0,2018,centre3,Zone15,Units_67
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Apt & Other,15.0,101.0,376.0,22.0,514.0,2018,centre3,Zone15,Units_68
N.B.,Moncton,East Moncton,Humphrey,Row,0.0,4.0,19.0,0.0,23.0,2018,centre3,Zone15,Units_69
N.B.,Moncton,East Moncton,Humphrey,Apt & Other,33.0,280.0,1197.0,72.0,1582.0,2018,centre3,Zone15,Units_70
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Units_71
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,Units_72
N.B.,Moncton,North Moncton,Parkton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,Units_73
N.B.,Moncton,North Moncton,Parkton,Apt & Other,135.0,545.0,1256.0,81.0,2017.0,2018,centre3,Zone16,Units_74
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,Units_75
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Apt & Other,0.0,54.0,323.0,6.0,383.0,2018,centre3,Zone16,Units_76
N.B.,Moncton,Riverview,Riverview,Row,0.0,1.0,63.0,15.0,79.0,2018,centre3,Zone17,Units_77
N.B.,Moncton,Riverview,Riverview,Apt & Other,7.0,173.0,1032.0,37.0,1249.0,2018,centre3,Zone17,Units_78
N.B.,Moncton,Dieppe City,Downtown Dieppe,Row,0.0,3.0,58.0,0.0,61.0,2018,centre3,Zone18,Units_79
N.B.,Moncton,Dieppe City,Downtown Dieppe,Apt & Other,2.0,187.0,1016.0,20.0,1225.0,2018,centre3,Zone18,Units_80
N.B.,Moncton,Dieppe City,St. Anselme,Row,0.0,2.0,22.0,6.0,30.0,2018,centre3,Zone18,Units_81
N.B.,Moncton,Dieppe City,St. Anselme,Apt & Other,0.0,13.0,89.0,0.0,102.0,2018,centre3,Zone18,Units_82
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,Units_83
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Apt & Other,0.0,35.0,278.0,36.0,349.0,2018,centre3,Zone18,Units_84
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Row,0.0,22.0,0.0,0.0,22.0,2018,centre3,Zone3,Units_85
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Apt & Other,1.0,35.0,46.0,9.0,91.0,2018,centre3,Zone3,Units_86
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Row,0.0,5.0,15.0,0.0,20.0,2018,centre3,Zone3,Units_87
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Apt & Other,0.0,0.0,12.0,0.0,12.0,2018,centre3,Zone3,Units_88
N.B.,Saint John,South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,Units_89
N.B.,Saint John,South,South End,Apt & Other,78.0,162.0,154.0,81.0,475.0,2018,centre4,Zone19,Units_90
N.B.,Saint John,South,Uptown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,Units_91
N.B.,Saint John,South,Uptown,Apt & Other,175.0,905.0,876.0,228.0,2184.0,2018,centre4,Zone19,Units_92
N.B.,Saint John,West,West,Row,0.0,0.0,22.0,158.0,180.0,2018,centre4,Zone20,Units_93
N.B.,Saint John,West,West,Apt & Other,26.0,269.0,610.0,195.0,1100.0,2018,centre4,Zone20,Units_94
N.B.,Saint John,North,Indian Town,Row,0.0,0.0,0.0,15.0,15.0,2018,centre4,Zone21,Units_95
N.B.,Saint John,North,Indian Town,Apt & Other,20.0,245.0,300.0,226.0,791.0,2018,centre4,Zone21,Units_96
N.B.,Saint John,North,North End,Row,0.0,0.0,0.0,6.0,6.0,2018,centre4,Zone21,Units_97
N.B.,Saint John,North,North End,Apt & Other,36.0,322.0,802.0,212.0,1372.0,2018,centre4,Zone21,Units_98
N.B.,Saint John,North,Millidgeville,Row,0.0,0.0,0.0,41.0,41.0,2018,centre4,Zone21,Units_99
N.B.,Saint John,North,Millidgeville,Apt & Other,8.0,163.0,656.0,50.0,877.0,2018,centre4,Zone21,Units_100
N.B.,Saint John,East,East,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone22,Units_101
N.B.,Saint John,East,East,Apt & Other,40.0,326.0,1001.0,226.0,1593.0,2018,centre4,Zone22,Units_102
N.B.,Saint John,Outlying Areas,Rothesay,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Units_103
N.B.,Saint John,Outlying Areas,Rothesay,Apt & Other,1.0,56.0,587.0,17.0,661.0,2018,centre4,Zone23,Units_104
N.B.,Saint John,Outlying Areas,Quipspamsis,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Units_105
N.B.,Saint John,Outlying Areas,Quipspamsis,Apt & Other,0.0,2.0,18.0,1.0,21.0,2018,centre4,Zone23,Units_106
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Row,0.0,0.0,6.0,0.0,6.0,2018,centre4,Zone23,Units_107
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Apt & Other,2.0,26.0,58.0,9.0,95.0,2018,centre4,Zone23,Units_108
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,Units_109
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Apt & Other,0.0,16.0,65.0,5.0,86.0,2018,centre4,Zone23,Units_110
Que,Saguenay,North Sector,Chicoutimi-Nord,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,Units_111
Que,Saguenay,North Sector,Chicoutimi-Nord,Apt & Other,16.0,181.0,727.0,194.0,1118.0,2018,centre5,Zone24,Units_112
Que,Saguenay,North Sector,Northern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,Units_113
Que,Saguenay,North Sector,Northern Outskirts,Apt & Other,0.0,38.0,224.0,75.0,337.0,2018,centre5,Zone24,Units_114
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone25,Units_115
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Apt & Other,154.0,889.0,1733.0,333.0,3109.0,2018,centre5,Zone25,Units_116
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Row,0.0,0.0,4.0,4.0,8.0,2018,centre5,Zone25,Units_117
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Apt & Other,41.0,563.0,2359.0,418.0,3381.0,2018,centre5,Zone25,Units_118
Que,Saguenay,Jonquière,Jonquière Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,Units_119
Que,Saguenay,Jonquière,Jonquière Downtown,Apt & Other,62.0,418.0,1616.0,257.0,2353.0,2018,centre5,Zone26,Units_120
Que,Saguenay,Jonquière,Jonquière,Row,0.0,1.0,19.0,4.0,24.0,2018,centre5,Zone26,Units_121
Que,Saguenay,Jonquière,Jonquière,Apt & Other,89.0,660.0,2250.0,505.0,3504.0,2018,centre5,Zone26,Units_122
Que,Saguenay,Jonquière,Southern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,Units_123
Que,Saguenay,Jonquière,Southern Outskirts,Apt & Other,2.0,7.0,140.0,8.0,157.0,2018,centre5,Zone26,Units_124
Que,Saguenay,La Baie,La Baie,Row,0.0,0.0,12.0,0.0,12.0,2018,centre5,Zone27,Units_125
Que,Saguenay,La Baie,La Baie,Apt & Other,7.0,225.0,1021.0,299.0,1552.0,2018,centre5,Zone27,Units_126
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Row,1.0,10.0,9.0,0.0,20.0,2018,centre6,Zone28,Units_127
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Apt & Other,5479.0,8050.0,6665.0,1109.0,21303.0,2018,centre6,Zone28,Units_128
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Row,0.0,0.0,0.0,40.0,40.0,2018,centre6,Zone28,Units_129
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Apt & Other,469.0,1149.0,914.0,304.0,2836.0,2018,centre6,Zone28,Units_130
Que,Montréal,Sud-Ouest/Verdun,Verdun,Row,0.0,0.0,4.0,0.0,4.0,2018,centre6,Zone29,Units_131
Que,Montréal,Sud-Ouest/Verdun,Verdun,Apt & Other,947.0,4774.0,7641.0,2132.0,15494.0,2018,centre6,Zone29,Units_132
Que,Montréal,Sud-Ouest/Verdun,South West,Row,2.0,8.0,6.0,2.0,18.0,2018,centre6,Zone29,Units_133
Que,Montréal,Sud-Ouest/Verdun,South West,Apt & Other,734.0,4186.0,8425.0,2014.0,15359.0,2018,centre6,Zone29,Units_134
Que,Montréal,LaSalle,LaSalle,Row,0.0,0.0,0.0,38.0,38.0,2018,centre6,Zone30,Units_135
Que,Montréal,LaSalle,LaSalle,Apt & Other,518.0,3453.0,12482.0,1718.0,18171.0,2018,centre6,Zone30,Units_136
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Units_137
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Apt & Other,213.0,1209.0,1571.0,714.0,3707.0,2018,centre6,Zone31,Units_138
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Units_139
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Apt & Other,2537.0,5609.0,7389.0,1452.0,16987.0,2018,centre6,Zone31,Units_140
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,Units_141
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Apt & Other,6.0,295.0,354.0,50.0,705.0,2018,centre6,Zone31,Units_142
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Row,0.0,0.0,62.0,48.0,110.0,2018,centre6,Zone31,Units_143
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Apt & Other,214.0,2321.0,3133.0,296.0,5964.0,2018,centre6,Zone31,Units_144
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,Units_145
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Apt & Other,3780.0,13698.0,13804.0,2511.0,33793.0,2018,centre6,Zone32,Units_146
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Row,0.0,0.0,0.0,3.0,3.0,2018,centre6,Zone32,Units_147
