Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,VR_ID
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_107
N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_108
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_109
N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_110
Que,Saguenay,North Sector,Chicoutimi-Nord,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,VR_111
Que,Saguenay,North Sector,Chicoutimi-Nord,Apt & Other,0.0,0.0,2.1,0.0,2.0,2018,centre5,Zone24,VR_112
Que,Saguenay,North Sector,Northern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,VR_113
Que,Saguenay,North Sector,Northern Outskirts,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone24,VR_114
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone25,VR_115
Que,Saguenay,Chicoutimi-Sud,Chicoutimi Downtown,Apt & Other,0.0,0.0,0.0,0.0,3.2,2018,centre5,Zone25,VR_116
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone25,VR_117
Que,Saguenay,Chicoutimi-Sud,Chicoutimi-Sud,Apt & Other,0.0,0.0,5.0,0.0,5.9,2018,centre5,Zone25,VR_118
Que,Saguenay,Jonquière,Jonquière Downtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,VR_119
Que,Saguenay,Jonquière,Jonquière Downtown,Apt & Other,0.0,0.0,0.0,0.0,4.9,2018,centre5,Zone26,VR_120
Que,Saguenay,Jonquière,Jonquière,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,VR_121
Que,Saguenay,Jonquière,Jonquière,Apt & Other,0.0,4.7,0.0,0.0,0.0,2018,centre5,Zone26,VR_122
Que,Saguenay,Jonquière,Southern Outskirts,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,VR_123
Que,Saguenay,Jonquière,Southern Outskirts,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone26,VR_124
Que,Saguenay,La Baie,La Baie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre5,Zone27,VR_125
Que,Saguenay,La Baie,La Baie,Apt & Other,0.0,0.0,4.7,4.1,5.2,2018,centre5,Zone27,VR_126
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone28,VR_127
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Ville-Marie,Apt & Other,2.4,3.1,5.4,0.7,3.2,2018,centre6,Zone28,VR_128
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone28,VR_129
Que,Montréal,Downtown Montréal/Îles-des-Soeurs,Île-des-Soeurs,Apt & Other,0.0,0.0,0.4,0.0,0.1,2018,centre6,Zone28,VR_130
Que,Montréal,Sud-Ouest/Verdun,Verdun,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone29,VR_131
Que,Montréal,Sud-Ouest/Verdun,Verdun,Apt & Other,0.0,0.7,0.5,0.0,0.6,2018,centre6,Zone29,VR_132
Que,Montréal,Sud-Ouest/Verdun,South West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone29,VR_133
Que,Montréal,Sud-Ouest/Verdun,South West,Apt & Other,0.0,0.7,0.0,0.4,0.0,2018,centre6,Zone29,VR_134
Que,Montréal,LaSalle,LaSalle,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone30,VR_135
Que,Montréal,LaSalle,LaSalle,Apt & Other,0.0,0.7,0.3,0.4,0.0,2018,centre6,Zone30,VR_136
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,VR_137
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Westmount,Apt & Other,0.0,0.7,0.0,0.0,5.3,2018,centre6,Zone31,VR_138
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,VR_139
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Notre-Dame-de-Grâce,Apt & Other,1.8,1.8,1.2,1.1,1.5,2018,centre6,Zone31,VR_140
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,VR_141
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Hampstead/Côte-Saint-Luc,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,VR_142
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone31,VR_143
Que,Montréal,ND-de-Grâce/Ct-St-Luc etc.,Côte-Saint-Luc/Montreal West,Apt & Other,1.0,1.4,0.0,0.0,0.0,2018,centre6,Zone31,VR_144
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,VR_145
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Côte-des-Neiges,Apt & Other,2.8,2.3,1.6,1.2,2.0,2018,centre6,Zone32,VR_146
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,VR_147
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Outremont,Apt & Other,0.0,0.0,0.0,0.7,0.0,2018,centre6,Zone32,VR_148
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone32,VR_149
Que,Montréal,Ct-des-Neiges/Mt-Royal/Outremont,Mont-Royal,Apt & Other,0.0,0.6,0.5,0.0,0.6,2018,centre6,Zone32,VR_150
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone33,VR_151
Que,Montréal,Plateau-Mont-Royal,Plateau-Mont-Royal,Apt & Other,3.1,0.0,0.5,0.2,1.5,2018,centre6,Zone33,VR_152
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,VR_153
Que,Montréal,Villeray/St-Michel/Pc-Extension,Parc-Extension,Apt & Other,4.4,0.0,0.6,0.0,1.5,2018,centre6,Zone34,VR_154
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,VR_155
Que,Montréal,Villeray/St-Michel/Pc-Extension,Villeray,Apt & Other,0.0,0.4,0.6,0.0,0.5,2018,centre6,Zone34,VR_156
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone34,VR_157
Que,Montréal,Villeray/St-Michel/Pc-Extension,Saint-Michel,Apt & Other,0.0,0.0,0.1,0.0,0.5,2018,centre6,Zone34,VR_158
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,VR_159
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Apt & Other,0.6,0.0,0.0,0.0,0.3,2018,centre6,Zone35,VR_160
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,VR_161
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Apt & Other,0.0,0.0,0.0,0.2,0.0,2018,centre6,Zone35,VR_162
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone36,VR_163
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Apt & Other,1.1,0.0,0.0,0.0,0.0,2018,centre6,Zone36,VR_164
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone37,VR_165
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Apt & Other,0.0,1.3,0.0,0.0,0.0,2018,centre6,Zone37,VR_166
Que,Montréal,Anjou/Saint-Léonard,Anjou,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone37,VR_167
Que,Montréal,Anjou/Saint-Léonard,Anjou,Apt & Other,0.0,0.5,0.2,0.0,0.4,2018,centre6,Zone37,VR_168
Que,Montréal,Montréal-Nord,Montréal-Nord,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone38,VR_169
Que,Montréal,Montréal-Nord,Montréal-Nord,Apt & Other,0.0,0.0,0.0,0.0,4.0,2018,centre6,Zone38,VR_170
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,VR_171
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Apt & Other,2.8,0.0,0.7,0.0,0.0,2018,centre6,Zone39,VR_172
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,VR_173
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Apt & Other,2.8,3.0,2.1,0.0,2.4,2018,centre6,Zone39,VR_174
Que,Montréal,Saint-Laurent,Saint-Laurent,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone40,VR_175
Que,Montréal,Saint-Laurent,Saint-Laurent,Apt & Other,1.2,3.4,2.9,4.3,3.2,2018,centre6,Zone40,VR_176
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone41,VR_177
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Apt & Other,0.0,4.9,3.3,0.0,4.3,2018,centre6,Zone41,VR_178
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone41,VR_179
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Apt & Other,0.7,2.1,2.4,0.0,2.1,2018,centre6,Zone41,VR_180
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Row,0.0,0.0,0.0,0.0,1.5,2018,centre6,Zone42,VR_181
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Apt & Other,1.3,1.9,1.7,2.9,1.9,2018,centre6,Zone42,VR_182
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Beaconsfield-Kirkland,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone42,VR_183
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Beaconsfield-Kirkland,Apt & Other,0.0,0.0,0.7,0.0,0.5,2018,centre6,Zone42,VR_184
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Ste-Anne-de-Bellevue/Baie-d'Urfé,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone42,VR_185
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Ste-Anne-de-Bellevue/Baie-d'Urfé,Apt & Other,0.0,0.5,0.0,0.0,0.7,2018,centre6,Zone42,VR_186
Que,Montréal,Sainte-Geneviève/Senneville etc.,Dollard-des-Ormeaux,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone43,VR_187
Que,Montréal,Sainte-Geneviève/Senneville etc.,Dollard-des-Ormeaux,Apt & Other,1.4,1.0,1.2,0.0,1.2,2018,centre6,Zone43,VR_188
Que,Montréal,Sainte-Geneviève/Senneville etc.,Senneville/Roxboro-Pierrefonds,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone43,VR_189
Que,Montréal,Sainte-Geneviève/Senneville etc.,Senneville/Roxboro-Pierrefonds,Apt & Other,4.0,3.3,3.6,0.0,3.3,2018,centre6,Zone43,VR_190
Que,Montréal,Sainte-Geneviève/Senneville etc.,L'Île-Bizard/Sainte-Geneviève,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone43,VR_191
Que,Montréal,Sainte-Geneviève/Senneville etc.,L'Île-Bizard/Sainte-Geneviève,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone43,VR_192
Que,Montréal,Mercier,Mercier,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone44,VR_193
