Units_ID,Province,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Units_6351,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone165,Neighbourhood478,Dwelling1
Units_6352,Ont.,13.0,143.0,298.0,27.0,481.0,2021,centre25,Zone165,Neighbourhood478,Dwelling2
Units_6353,Ont.,0.0,0.0,0.0,34.0,34.0,2021,centre25,Zone165,Neighbourhood479,Dwelling1
Units_6354,Ont.,202.0,1623.0,1672.0,464.0,3961.0,2021,centre25,Zone165,Neighbourhood479,Dwelling2
Units_6355,Ont.,0.0,0.0,2.0,8.0,10.0,2021,centre25,Zone165,Neighbourhood480,Dwelling1
Units_6356,Ont.,16.0,521.0,1007.0,437.0,1981.0,2021,centre25,Zone165,Neighbourhood480,Dwelling2
Units_6357,Ont.,0.0,0.0,16.0,66.0,82.0,2021,centre25,Zone165,Neighbourhood481,Dwelling1
Units_6358,Ont.,11.0,148.0,300.0,79.0,538.0,2021,centre25,Zone165,Neighbourhood481,Dwelling2
Units_6359,Ont.,0.0,0.0,28.0,12.0,40.0,2021,centre25,Zone165,Neighbourhood482,Dwelling1
Units_6360,Ont.,1.0,119.0,244.0,103.0,467.0,2021,centre25,Zone165,Neighbourhood482,Dwelling2
Units_6361,Ont.,0.0,0.0,24.0,99.0,123.0,2021,centre25,Zone165,Neighbourhood483,Dwelling1
Units_6362,Ont.,40.0,813.0,1184.0,180.0,2217.0,2021,centre25,Zone165,Neighbourhood483,Dwelling2
Units_6363,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone165,Neighbourhood484,Dwelling1
Units_6364,Ont.,2.0,249.0,604.0,117.0,972.0,2021,centre25,Zone165,Neighbourhood484,Dwelling2
Units_6365,Ont.,0.0,0.0,57.0,134.0,191.0,2021,centre25,Zone165,Neighbourhood485,Dwelling1
Units_6366,Ont.,4.0,621.0,1479.0,652.0,2756.0,2021,centre25,Zone165,Neighbourhood485,Dwelling2
Units_6367,Ont.,0.0,0.0,27.0,40.0,67.0,2021,centre25,Zone165,Neighbourhood486,Dwelling1
Units_6368,Ont.,10.0,716.0,1365.0,399.0,2490.0,2021,centre25,Zone165,Neighbourhood486,Dwelling2
Units_6369,Ont.,0.0,0.0,42.0,77.0,119.0,2021,centre25,Zone166,Neighbourhood487,Dwelling1
Units_6370,Ont.,1.0,98.0,302.0,130.0,531.0,2021,centre25,Zone166,Neighbourhood487,Dwelling2
Units_6371,Ont.,0.0,0.0,111.0,178.0,289.0,2021,centre25,Zone166,Neighbourhood488,Dwelling1
Units_6372,Ont.,21.0,313.0,402.0,186.0,922.0,2021,centre25,Zone166,Neighbourhood488,Dwelling2
Units_6373,Ont.,0.0,0.0,77.0,163.0,240.0,2021,centre25,Zone166,Neighbourhood489,Dwelling1
