ID,Province,Centres,Zones,Neighbourhood,Year,Centre_id,Zone_id,AR Bachelor,AR 1 Bedroom,AR 2 Bedroom,AR 3 Bedroom +,AR Total,VR Bachelor,VR 1 Bedroom,VR 2 Bedroom,VR 3 Bedroom +,VR Total,Units Bachelor,Units 1 Bedroom,Units 2 Bedroom,Units 3 Bedroom +,Units Total
ID_52,N.S.,Halifax,Remainder of CMA,Hammonds Plains,2018,centre2,Zone3,0.0,0.0,1555.0,1707.0,1549.0,0.0,0.0,3.2,0.0,3.1,7.0,11.0,687.0,21.0,726.0
ID_53,N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,2018,centre2,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_54,N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,2018,centre2,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,7.0,18.0
ID_55,N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,2018,centre2,Zone3,0.0,0.0,0.0,1375.0,1375.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,3.0,16.0,19.0
ID_56,N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,2018,centre2,Zone3,0.0,0.0,678.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,36.0,2.0,91.0
ID_57,N.S.,Halifax,Remainder of CMA,Halifax County East,2018,centre2,Zone3,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,21.0
ID_58,N.S.,Halifax,Remainder of CMA,Halifax County East,2018,centre2,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
ID_59,N.B.,Moncton,Central Moncton,Downtown Moncton,2018,centre3,Zone13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,2.0,15.0
ID_60,N.B.,Moncton,Central Moncton,Downtown Moncton,2018,centre3,Zone13,588.0,719.0,833.0,802.0,769.0,0.0,0.0,1.7,0.0,1.9,114.0,792.0,908.0,60.0,1874.0
ID_61,N.B.,Moncton,Central Moncton,Garden Hill,2018,centre3,Zone13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0
ID_62,N.B.,Moncton,Central Moncton,Garden Hill,2018,centre3,Zone13,565.0,650.0,776.0,825.0,740.0,0.0,0.0,3.7,0.0,3.4,45.0,342.0,720.0,115.0,1222.0
ID_63,N.B.,Moncton,West Moncton,West Moncton,2018,centre3,Zone14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_64,N.B.,Moncton,West Moncton,West Moncton,2018,centre3,Zone14,626.0,699.0,802.0,818.0,755.0,1.1,0.8,3.9,0.0,2.5,110.0,373.0,582.0,45.0,1110.0
ID_65,N.B.,Moncton,East Moncton,Sunny Brae,2018,centre3,Zone15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_66,N.B.,Moncton,East Moncton,Sunny Brae,2018,centre3,Zone15,0.0,642.0,807.0,0.0,829.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,265.0,27.0,336.0
ID_67,N.B.,Moncton,East Moncton,Lewisville/Harrisville,2018,centre3,Zone15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0
ID_68,N.B.,Moncton,East Moncton,Lewisville/Harrisville,2018,centre3,Zone15,0.0,680.0,866.0,1001.0,855.0,0.0,0.0,2.3,19.6,3.4,15.0,101.0,376.0,22.0,514.0
ID_69,N.B.,Moncton,East Moncton,Humphrey,2018,centre3,Zone15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,23.0
ID_70,N.B.,Moncton,East Moncton,Humphrey,2018,centre3,Zone15,684.0,664.0,786.0,0.0,766.0,3.1,4.4,2.8,0.0,3.1,33.0,280.0,1197.0,72.0,1582.0
ID_71,N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,2018,centre3,Zone15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_72,N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,2018,centre3,Zone15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_73,N.B.,Moncton,North Moncton,Parkton,2018,centre3,Zone16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_74,N.B.,Moncton,North Moncton,Parkton,2018,centre3,Zone16,602.0,657.0,785.0,911.0,736.0,0.0,0.0,0.0,0.0,4.4,135.0,545.0,1256.0,81.0,2017.0
ID_75,N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,2018,centre3,Zone16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_76,N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,2018,centre3,Zone16,0.0,844.0,957.0,0.0,945.0,0.0,0.0,0.7,0.0,0.6,0.0,54.0,323.0,6.0,383.0
ID_77,N.B.,Moncton,Riverview,Riverview,2018,centre3,Zone17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,15.0,79.0
ID_78,N.B.,Moncton,Riverview,Riverview,2018,centre3,Zone17,0.0,754.0,836.0,1135.0,834.0,0.0,0.0,3.6,0.0,3.2,7.0,173.0,1032.0,37.0,1249.0
ID_79,N.B.,Moncton,Dieppe City,Downtown Dieppe,2018,centre3,Zone18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,0.0,61.0
ID_80,N.B.,Moncton,Dieppe City,Downtown Dieppe,2018,centre3,Zone18,0.0,703.0,827.0,1000.0,811.0,0.0,1.0,0.8,0.0,0.8,2.0,187.0,1016.0,20.0,1225.0
ID_81,N.B.,Moncton,Dieppe City,St. Anselme,2018,centre3,Zone18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,30.0
ID_82,N.B.,Moncton,Dieppe City,St. Anselme,2018,centre3,Zone18,0.0,0.0,797.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,89.0,0.0,102.0
ID_83,N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,2018,centre3,Zone18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_84,N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,2018,centre3,Zone18,0.0,906.0,1095.0,0.0,1072.0,0.0,0.0,4.5,0.0,3.8,0.0,35.0,278.0,36.0,349.0
ID_85,N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,2018,centre3,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0
ID_86,N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,2018,centre3,Zone3,0.0,536.0,704.0,0.0,657.0,0.0,0.0,0.0,0.0,3.1,1.0,35.0,46.0,9.0,91.0
ID_87,N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,2018,centre3,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,20.0
ID_88,N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,2018,centre3,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
ID_89,N.B.,Saint John,South,South End,2018,centre4,Zone19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_90,N.B.,Saint John,South,South End,2018,centre4,Zone19,433.0,630.0,693.0,867.0,644.0,2.6,0.0,0.0,0.0,0.0,78.0,162.0,154.0,81.0,475.0
ID_91,N.B.,Saint John,South,Uptown,2018,centre4,Zone19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_92,N.B.,Saint John,South,Uptown,2018,centre4,Zone19,583.0,663.0,836.0,1024.0,750.0,0.0,0.0,0.0,0.0,3.1,175.0,905.0,876.0,228.0,2184.0
ID_93,N.B.,Saint John,West,West,2018,centre4,Zone20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,158.0,180.0
ID_94,N.B.,Saint John,West,West,2018,centre4,Zone20,0.0,579.0,696.0,800.0,690.0,0.0,0.0,1.1,0.0,2.3,26.0,269.0,610.0,195.0,1100.0
ID_95,N.B.,Saint John,North,Indian Town,2018,centre4,Zone21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ID_96,N.B.,Saint John,North,Indian Town,2018,centre4,Zone21,479.0,592.0,684.0,723.0,655.0,0.0,0.0,0.0,0.0,0.0,20.0,245.0,300.0,226.0,791.0
ID_97,N.B.,Saint John,North,North End,2018,centre4,Zone21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
ID_98,N.B.,Saint John,North,North End,2018,centre4,Zone21,598.0,763.0,809.0,748.0,785.0,0.0,0.0,3.6,5.5,3.7,36.0,322.0,802.0,212.0,1372.0
ID_99,N.B.,Saint John,North,Millidgeville,2018,centre4,Zone21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0
ID_100,N.B.,Saint John,North,Millidgeville,2018,centre4,Zone21,571.0,666.0,787.0,0.0,771.0,0.0,1.4,0.0,0.0,1.9,8.0,163.0,656.0,50.0,877.0
ID_101,N.B.,Saint John,East,East,2018,centre4,Zone22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_102,N.B.,Saint John,East,East,2018,centre4,Zone22,556.0,622.0,757.0,764.0,728.0,0.0,6.0,4.7,5.8,5.3,40.0,326.0,1001.0,226.0,1593.0
ID_103,N.B.,Saint John,Outlying Areas,Rothesay,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_104,N.B.,Saint John,Outlying Areas,Rothesay,2018,centre4,Zone23,0.0,611.0,665.0,0.0,667.0,0.0,0.0,3.2,0.0,3.5,1.0,56.0,587.0,17.0,661.0
ID_105,N.B.,Saint John,Outlying Areas,Quipspamsis,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_106,N.B.,Saint John,Outlying Areas,Quipspamsis,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,21.0
ID_107,N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
ID_108,N.B.,Saint John,Outlying Areas,Saint Martins/Hampton,2018,centre4,Zone23,0.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,58.0,9.0,95.0
ID_109,N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_110,N.B.,Saint John,Outlying Areas,Eastern Saint John CMA,2018,centre4,Zone23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,65.0,5.0,86.0
ID_111,Que,Saguenay,North Sector,Chicoutimi-Nord,2018,centre5,Zone24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_112,Que,Saguenay,North Sector,Chicoutimi-Nord,2018,centre5,Zone24,514.0,456.0,553.0,622.0,543.0,0.0,0.0,2.1,0.0,2.0,16.0,181.0,727.0,194.0,1118.0
ID_113,Que,Saguenay,North Sector,Northern Outskirts,2018,centre5,Zone24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
