Zone_id,Zones,Lat,Lon
Zone185,"Aurora, Newmkt, Whit-St.",45.469813,-73.668092
Zone186,Markham,43.8563707,-79.3376825
Zone187,Pickering/Ajax/Uxbridge,39.138382,-75.409297
Zone188,Milton/Halton Hills,43.6512888,-79.9142216
Zone189,Orangeville/Mono,43.91515,-80.112472
Zone190,Bradford/West Gwillimbury/New Tecumseth,44.14125,-79.395028
Zone191,Centre,44.08139,-77.42417
Zone192,East Inner,49.300927,-123.093987
Zone193,East Outer,49.30736,-123.20767
Zone194,Amherstburg,42.1013315,-83.1086458
Zone195,Fort Rouge,48.88332,-72.08247
Zone196,Centennial,49.834714,-99.9771574
Zone197,Midland,44.750147,-79.885712
Zone198,Lord Selkirk,38.85539,-77.3036
Zone199,St. James,49.882432,-97.2262639
Zone200,West Kildonan,49.9433509,-97.1301761
Zone201,East Kildonan,49.9209415,-97.0881378
Zone202,Transcona,50.46671,-104.64916
Zone203,St. Boniface,46.505246,-72.828712
Zone204,St. Vital,49.8237577,-97.0996409
Zone205,Fort Garry,26.121044,-80.142951
Zone206,Assiniboine Park,49.859645,-97.2407632
Zone207,South: Lakeview/Albert Park,50.40143,-104.63111
Zone208,South: Wascana University,42.278999,-83.730437
Zone209,Southeast,53.4231146,-113.427807
Zone210,Beltline,51.0404978,-114.0725934
Zone211,North Hill,43.902078,-79.428887
Zone212,Chinook,51.44921,-110.9236498
Zone213,Fish Creek,52.61678,-106.15114
Zone214,Other Centres,29.73719,-82.46011
Zone215,Hudson's Bay Reserve,56.179703,-98.381394
Zone216,University,41.513101,-81.607469
Zone217,West Central,47.569667,-52.720671
Zone218,Jasper Place,53.540691,-113.5986874
Zone219,West Jasper Place,53.5364576,-113.584052
Zone220,South West,44.18035,-77.578647
Zone221,East Central,44.9730785,-78.25811290039293
Zone222,Millwoods,,
Zone223,North Central,49.884628,-119.483224
Zone224,North East,43.76681,-79.4163
Zone225,Castledown,,
Zone226,St. Albert,53.633239,-113.628845
Zone227,Other Outlying Areas,,
Zone228,Fort Saskatchewan,53.7128571,-113.2148942
Zone229,Leduc,53.2607825,-113.5511681
Zone230,Spruce Grove,53.545204,-113.903503
Zone231,Stony Plain,53.5289862,-114.004873
Zone232,Strathcona County,53.58574,-113.10009
Zone233,Lethbridge,49.6945782,-112.8331033
Zone234,Abbotsford,49.0521162,-122.329479
Zone235,Mission,49.1589351,-122.283583
Zone236,Core Area,43.451165,-80.491708
Zone237,Rutland,49.901763,-119.396929
Zone238,West End/Stanley Park,39.08594,-77.16498
Zone239,English Bay,46.373112,-79.4291
Zone240,South Granville/Oak,46.40013,-63.46541
Zone241,Kitsilano/Point Grey,49.697383200000004,-98.07351812056754
Zone242,Westside/Kerrisdale,49.88307,-119.53568
Zone243,Marpole,49.2092233,-123.1361495
Zone244,Mount Pleasant/Renfrew Heights,,
Zone245,East Hastings,45.8264443,-64.1213627
Zone246,Southeast Vancouver,49.2608724,-123.113952
Zone247,University Endowment Lands,49.25766695,-123.21724950249359
Zone248,Central Park/Metrotown,45.36876,-75.73668
Zone249,Southeast Burnaby,49.2433804,-122.972545
Zone250,North Burnaby,49.2433804,-122.972545
Zone251,New Westminster,49.2067726,-122.9108818
Zone252,North Vancouver CY,49.3206294,-123.0737925
Zone253,North Vancouver DM,49.3206294,-123.0737925
Zone254,West Vancouver,49.3311208,-123.159479
Zone255,Richmond,49.163168,-123.137414
Zone256,Delta,49.0846258,-123.057938
Zone257,Surrey,49.1913033,-122.849143
Zone258,White Rock,49.0235357,-122.797924
Zone259,Langley City and Langley DM,,
Zone260,Tri-Cities,55.43338,-116.71923
Zone261,Maple Ridge/Pitt Meadows,48.9936523,-58.0558122
Zone262,Cook St. Area,53.63344,-113.63533
Zone263,Fort St. Area,56.752082,-111.449452
Zone264,James Bay Area,46.19695,-59.95698
Zone265,Remainder of City,42.38341,-83.10241
Zone266,Saanich/Central Saanich,48.5946782,-123.4207265
Zone267,Esquimalt,48.429995,-123.41359
Zone268,Langford/Vw Royal/Colwood/Sooke,48.3825724,-123.7315177
Zone269,Oak Bay,48.4261126,-123.3170727
Zone270,North Saanich,48.6563671,-123.4327941
Zone271,Sidney,48.6505788,-123.3983246
Zone272,Saint-Lin-Laurentides V,47.50771,0.2572
